_id,location,name_pollutant_substance,measurement_results,period,maximum_permissible_concentration,deviation
73,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,7.33,2015-09-30T00:00:00,5,2.33
74,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.252,2015-09-30T00:00:00,0.4,-0.15
75,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.27,2015-09-30T00:00:00,0.2,0.07
76,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.107,2015-09-30T00:00:00,0.5,-0.39
77,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,9.07,2015-12-31T00:00:00,5,4.07
78,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.254,2015-12-31T00:00:00,0.4,-0.15
79,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.281,2015-12-31T00:00:00,0.2,0.08
80,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.114,2015-12-31T00:00:00,0.5,-0.39
81,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,6.43,2016-03-31T00:00:00,5,1.43
82,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.205,2016-03-31T00:00:00,0.4,-0.2
83,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.219,2016-03-31T00:00:00,0.2,0.02
84,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.079,2016-03-31T00:00:00,0.5,-0.42
85,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,8.12,2016-06-30T00:00:00,5,3.12
86,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.232,2016-06-30T00:00:00,0.4,-0.17
87,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.257,2016-06-30T00:00:00,0.2,0.06
88,проспект Чорновола В. – вул. Городоцька,ангідрид сірчистий,0.104,2016-06-30T00:00:00,0.5,-0.4
89,проспект Чорновола В. – вул. Городоцька,вуглецю оксид,8.51,2016-09-30T00:00:00,5,3.51
90,проспект Чорновола В. – вул. Городоцька,азоту оксид,0.259,2016-09-30T00:00:00,0.4,-0.14
91,проспект Чорновола В. – вул. Городоцька,азоту діоксид,0.262,2016-09-30T00:00:00,0.2,0.06
